t_s,true_tank_level_m,reported_tank_level_m,independent_level_m,true_source_level_m,true_inflow_m3_s,true_outflow_m3_s,demand_m3_s,service_shortfall_ratio,spill_volume_m3,pump_energised,pump_permitted,valve_position,requested_setpoint_m,effective_setpoint_m,supervisory_available,consequence_level,violated_invariants
80.500000,2.964700,2.958000,2.950000,6.000000,0.000000,0.032139,0.032139,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
81.000000,2.963320,2.964000,2.950000,6.000000,0.000000,0.033111,0.033111,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
81.500000,2.961875,2.974000,2.960000,6.000000,0.000000,0.034671,0.034671,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
82.000000,2.960452,2.955000,2.970000,6.000000,0.000000,0.034154,0.034154,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
82.500000,2.958870,2.955000,2.960000,6.000000,0.000000,0.037984,0.037984,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
83.000000,2.957318,2.964000,2.970000,6.000000,0.000000,0.037242,0.037242,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
83.500000,2.955879,2.961000,2.950000,6.000000,0.000000,0.034535,0.034535,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
84.000000,2.954293,2.951000,2.960000,6.000000,0.000000,0.038056,0.038056,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
84.500000,2.952973,2.955000,2.940000,6.000000,0.000000,0.031695,0.031695,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
85.000000,2.951459,2.949000,2.930000,6.000000,0.000000,0.036334,0.036334,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
85.500000,2.949928,2.949000,2.960000,6.000000,0.000000,0.036737,0.036737,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
86.000000,2.948363,2.949000,2.960000,6.000000,0.000000,0.037551,0.037551,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
86.500000,2.946946,2.940000,2.950000,6.000000,0.000000,0.034029,0.034029,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
87.000000,2.945513,2.943000,2.920000,6.000000,0.000000,0.034393,0.034393,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
87.500000,2.944172,2.942000,2.950000,6.000000,0.000000,0.032164,0.032164,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
